"場所の名前","カテゴリ","区名","所在地","TEL","避難可能時間","災害対策基本法に基づく指定","避難場所の対象とする災害","経度","緯度","分類"
"東陽中学校","防災関連施設 - 一時避難場所・災害時避難所","東成区","深江北2-5-7","6976-1001","24時間","指定緊急避難場所・指定避難所","地震、津波","135.558887867376","34.6776370681797","一時避難場所・災害時避難所"
"本庄中学校","防災関連施設 - 一時避難場所・災害時避難所","東成区","東中本3-14-2","6976-0316","24時間","指定緊急避難場所・指定避難所","地震、津波","135.546626702024","34.6762795980816","一時避難場所・災害時避難所"
"玉津中学校","防災関連施設 - 一時避難場所・災害時避難所","東成区","玉津1-12-43","6971-4438","24時間","指定緊急避難場所・指定避難所","地震、津波","135.537730840572","34.6710393538175","一時避難場所・災害時避難所"
"相生中学校","防災関連施設 - 一時避難場所・災害時避難所","東成区","神路2-8-16","6976-1941","24時間","指定緊急避難場所・指定避難所","地震、津波","135.553428734528","34.674846024218","一時避難場所・災害時避難所"
"東小橋公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","東小橋2-1","－","24時間","指定緊急避難場所","地震、津波","135.532494431845","34.6700993020354","一時避難場所"
"東小橋北公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","東小橋1-9","－","24時間","指定緊急避難場所","地震、津波","135.533592787978","34.6733468147998","一時避難場所"
"玉津公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","玉津1-11","－","24時間","指定緊急避難場所","地震、津波","135.537170385029","34.6712793463682","一時避難場所"
"平戸公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","大今里西2-6","－","24時間","指定緊急避難場所","地震、津波","135.540326648847","34.6701821130135","一時避難場所"
"今里西之口公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","大今里3-17","－","24時間","指定緊急避難場所","地震、津波","135.544641258005","34.6695149139313","一時避難場所"
"南中本公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","大今里西1-10","－","24時間","指定緊急避難場所","地震、津波","135.542406236449","34.6738579459073","一時避難場所"
"今里南公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","大今里南1-26","－","24時間","指定緊急避難場所","地震、津波","135.545280720227","34.6653614706121","一時避難場所"
"東中本公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","東中本3-15","－","24時間","指定緊急避難場所","地震、津波","135.545313926238","34.6761363715139","一時避難場所"
"神路公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","東中本2-12","－","24時間","指定緊急避難場所","地震、津波","135.548329018094","34.6781408497406","一時避難場所"
"西深江公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","深江南1-7","－","24時間","指定緊急避難場所","地震、津波","135.555951709367","34.6714038451263","一時避難場所"
"南深江公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","深江南2-9","－","24時間","指定緊急避難場所","地震、津波","135.558453288365","34.6707658886361","一時避難場所"
"阪陽公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","深江北1-10","－","24時間","指定緊急避難場所","地震、津波","135.556539608613","34.675963112607","一時避難場所"
"深江公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","深江北2-16","－","24時間","指定緊急避難場所","地震、津波","135.559372846863","34.673889504781","一時避難場所"
"東深江公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","深江北3-16","－","24時間","指定緊急避難場所","地震、津波","135.562286764287","34.6755025763192","一時避難場所"
"大今里公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","大今里4-16","－","24時間","指定緊急避難場所","地震、津波","135.548770571118","34.6687519828423","一時避難場所"
"北中道公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","中道2-28","－","24時間","指定緊急避難場所","地震、津波","135.539818181996","34.6788301174025","一時避難場所"
"北中本公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","中本2-28","－","24時間","指定緊急避難場所","地震、津波","135.542562166953","34.6802849637919","一時避難場所"
"大今里南公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","大今里南4-15","－","24時間","指定緊急避難場所","地震、津波","135.552685208891","34.665556057435","一時避難場所"
"千間川みどり公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","東今里1","－","24時間","指定緊急避難場所","地震、津波","135.55257815062","34.6808320259482","一時避難場所"
"千間川公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","中本1-1","－","24時間","指定緊急避難場所","地震、津波","135.540431676509","34.6832274407008","一時避難場所"
"中道中央公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","中道4-5","－","24時間","指定緊急避難場所","地震、津波","135.536909747702","34.6767213497142","一時避難場所"
"玉津南公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","玉津3-8","－","24時間","指定緊急避難場所","地震、津波","135.538297721636","34.6663444422432","一時避難場所"
"大今里ふれあい公園","防災関連施設 - 一時避難場所・災害時避難所","東成区","大今里2-35","－","24時間","指定緊急避難場所","地震、津波","135.550377487389","34.6711914453895","一時避難場所"
"北鶴橋小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","鶴橋3-4-50","6741-6706","24時間","指定緊急避難場所・指定避難所","地震、津波","135.53500152084","34.6642269905977","一時避難場所・災害時避難所"
"鶴橋小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","桃谷2-20-32","6717-0040","24時間","指定緊急避難場所・指定避難所","地震、津波","135.532523484651","34.658671711468","一時避難場所・災害時避難所"
"御幸森小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","桃谷5-5-37","6712-0444","24時間","指定緊急避難場所・指定避難所","地震、津波","135.538061460315","34.6595168113107","一時避難場所・災害時避難所"
"勝山小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山南1-3-5","6716-1166","24時間","指定緊急避難場所・指定避難所","地震、津波","135.52790589807","34.6539976915793","一時避難場所・災害時避難所"
"東桃谷小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山北3-7-21","6712-0447","24時間","指定緊急避難場所・指定避難所","地震、津波","135.534122131096","34.6557413832071","一時避難場所・災害時避難所"
"舎利寺小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山南4-15-25","6712-1721","24時間","指定緊急避難場所・指定避難所","地震、津波","135.539148354732","34.6524626263607","一時避難場所・災害時避難所"
"西生野小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","生野西3-5-7","6717-0345","24時間","指定緊急避難場所・指定避難所","地震、津波","135.52928931606","34.6512614626852","一時避難場所・災害時避難所"
"生野小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","舎利寺3-1-39","6718-0901","24時間","指定緊急避難場所・指定避難所","地震、津波","135.536079125137","34.6480761338315","一時避難場所・災害時避難所"
"田島小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","田島3-7-38","6758-1541","24時間","指定緊急避難場所・指定避難所","地震、津波","135.543191063598","34.6484310444941","一時避難場所・災害時避難所"
"生野南小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","林寺6-6-7","6713-8585","24時間","指定緊急避難場所・指定避難所","地震、津波","135.537654593031","34.642361756078","一時避難場所・災害時避難所"
"林寺小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","林寺2-14-3","6716-3377","24時間","指定緊急避難場所・指定避難所","地震、津波","135.53281990202","34.6447941379393","一時避難場所・災害時避難所"
"中川小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","中川3-4-3","6753-1822","24時間","指定緊急避難場所・指定避難所","地震、津波","135.544377824922","34.6597872326783","一時避難場所・災害時避難所"
"東中川小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","新今里7-14-37","6752-2865","24時間","指定緊急避難場所・指定避難所","地震、津波","135.549736432275","34.659188430251","一時避難場所・災害時避難所"
"小路小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","小路2-24-40","6752-0061","24時間","指定緊急避難場所・指定避難所","地震、津波","135.554946398951","34.6605816021148","一時避難場所・災害時避難所"
"東小路小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","小路東3-8-15","6751-4465","24時間","指定緊急避難場所・指定避難所","地震、津波","135.55935471216","34.6591853641767","一時避難場所・災害時避難所"
"巽小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽中3-12-5","6758-0025","24時間","指定緊急避難場所・指定避難所","地震、津波","135.551909917572","34.6460964095312","一時避難場所・災害時避難所"
"北巽小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽北1-30-29","6753-0301","24時間","指定緊急避難場所・指定避難所","地震、津波","135.547473346687","34.6541672432055","一時避難場所・災害時避難所"
"巽南小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽南2-10-7","6757-9174","24時間","指定緊急避難場所・指定避難所","地震、津波","135.548747366077","34.6385136389682","一時避難場所・災害時避難所"
"巽東小学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽東3-8-13","6758-3261","24時間","指定緊急避難場所・指定避難所","地震、津波","135.558431648588","34.6496692794944","一時避難場所・災害時避難所"
"生野中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","生野西3-5-40","6716-0121","24時間","指定緊急避難場所・指定避難所","地震、津波","135.530326524294","34.6507016368484","一時避難場所・災害時避難所"
"田島中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","田島5-23-7","6758-1021","24時間","指定緊急避難場所・指定避難所","地震、津波","135.543677207704","34.6439567298185","一時避難場所・災害時避難所"
"大池中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","中川6-3-6","6752-3451","24時間","指定緊急避難場所・指定避難所","地震、津波","135.542795958709","34.6556470300936","一時避難場所・災害時避難所"
"東生野中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","新今里7-9-25","6752-2885","24時間","指定緊急避難場所・指定避難所","地震、津波","135.551334551125","34.6605272914812","一時避難場所・災害時避難所"
"新生野中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽東3-3-12","6757-1421","24時間","指定緊急避難場所・指定避難所","地震、津波","135.55828398265","34.6524131122563","一時避難場所・災害時避難所"
"巽中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽中3-17-20","6757-0001","24時間","指定緊急避難場所・指定避難所","地震、津波","135.553108793634","34.6471911477415","一時避難場所・災害時避難所"
"新巽中学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽南4-2-53","6793-7415","24時間","指定緊急避難場所・指定避難所","地震、津波","135.550206614651","34.6398199459594","一時避難場所・災害時避難所"
"生野工業高等学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","生野東2-3-66","6731-5551","24時間","指定緊急避難場所・指定避難所","地震、津波","135.531137108115","34.6471669050083","一時避難場所・災害時避難所"
"桃谷高等学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山南3-1-4","6712-0371","24時間","指定緊急避難場所・指定避難所","地震、津波","135.533215789523","34.6534411470911","一時避難場所・災害時避難所"
"勝山高等学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽東3-10-75","6757-9171","24時間","指定緊急避難場所・指定避難所","地震、津波","135.559439519622","34.6511686933018","一時避難場所・災害時避難所"
"金光藤蔭高等学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","小路東4-1-26","6751-2461","24時間","指定緊急避難場所・指定避難所","地震、津波","135.556413335607","34.6575828398684","一時避難場所・災害時避難所"
"プール学院","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山北1-19-31","6741-7005","24時間","指定緊急避難場所・指定避難所","地震、津波","135.528106656215","34.6553951121858","一時避難場所・災害時避難所"
"大阪偕星学園高等学校","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山南2-6-38","6716-0003","24時間","－","地震、津波","135.530238598174","34.6525210863809","一時避難場所・災害時避難所"
"天理教葛上分教会","防災関連施設 - 一時避難場所・災害時避難所","生野区","新今里5-3-1","6751-0308","-","指定避難所","地震、津波","135.549210238491","34.6609297708792","災害時避難所"
"新今里公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","新今里2-12","－","24時間","指定緊急避難場所","地震、津波","135.546429182875","34.662522862083","一時避難場所"
"田島公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","田島3-5","－","24時間","指定緊急避難場所","地震、津波","135.542723413201","34.6483236341183","一時避難場所"
"東中川公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","新今里7-14","－","24時間","指定緊急避難場所","地震、津波","135.550954482981","34.6592010810306","一時避難場所"
"御勝山公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山北3-16","－","24時間","指定緊急避難場所","地震、津波","135.535832392406","34.6544774918819","一時避難場所"
"桃谷公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","桃谷1-2","－","24時間","指定緊急避難場所","地震、津波","135.530008458712","34.6600826475297","一時避難場所"
"生野東公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","生野東3-10","－","24時間","指定緊急避難場所","地震、津波","135.535027463543","34.6509364851479","一時避難場所"
"巽公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽西1-7","－","24時間","指定緊急避難場所","地震、津波","135.546520845925","34.6513438374069","一時避難場所"
"中川西公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","中川西2-5","－","24時間","指定緊急避難場所","地震、津波","135.541324356645","34.6618613907816","一時避難場所"
"巽南公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽南1-4","－","24時間","指定緊急避難場所","地震、津波","135.545782830312","34.6414157869449","一時避難場所"
"巽東公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽東4-3","－","24時間","指定緊急避難場所","地震、津波","135.559281580108","34.6480099402848","一時避難場所"
"御勝山南公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山南3-3","－","24時間","指定緊急避難場所","地震、津波","135.535910832176","34.6535909075952","一時避難場所"
"生野南公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","林寺4-6","－","24時間","指定緊急避難場所","地震、津波","135.53524017828","34.6427911572683","一時避難場所"
"巽西公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽西4-6","－","24時間","指定緊急避難場所","地震、津波","135.547365368984","34.6440524134895","一時避難場所"
"舎利寺中央公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","勝山南4-5,6","－","24時間","指定緊急避難場所","地震、津波","135.539216906659","34.6530604274524","一時避難場所"
"御幸森２公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","桃谷5-4","－","24時間","指定緊急避難場所","地震、津波","135.53834141078","34.6609759617581","一時避難場所"
"南巽公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽南3-10","－","24時間","指定緊急避難場所","地震、津波","135.551786324481","34.641241170844","一時避難場所"
"生野東４公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","生野東4-5","－","24時間","指定緊急避難場所","地震、津波","135.53476517266","34.6468360248941","一時避難場所"
"巽北西公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽北1-21","－","24時間","指定緊急避難場所","地震、津波","135.545499930027","34.6541456324442","一時避難場所"
"巽西１公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","巽西1-3","－","24時間","指定緊急避難場所","地震、津波","135.544828893509","34.6516008029405","一時避難場所"
"林寺西公園","防災関連施設 - 一時避難場所・災害時避難所","生野区","林寺2-16","－","24時間","指定緊急避難場所","地震、津波","135.5314597542","34.6447157797419","一時避難場所"
"清水小学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","清水5-1-12","6952-6661","24時間","指定緊急避難場所・指定避難所","地震、津波","135.561717802921","34.7231833393146","一時避難場所・災害時避難所"
"新森小路小学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","新森6-3-13","6953-3800","24時間","指定緊急避難場所・指定避難所","地震、津波","135.561959985871","34.7163687445935","一時避難場所・災害時避難所"
"古市小学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","森小路2-10-35","6955-1212","24時間","指定緊急避難場所・指定避難所","地震、津波","135.551289028996","34.7225473786299","一時避難場所・災害時避難所"
"太子橋小学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","太子橋1-12-15","6951-0465","24時間","指定緊急避難場所・指定避難所","地震、津波","135.553880776859","34.7324052648879","一時避難場所・災害時避難所"
"大宮小学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","大宮4-9-16","6953-4001","24時間","指定緊急避難場所・指定避難所","地震、津波","135.545999630702","34.7272559563038","一時避難場所・災害時避難所"
"大宮西小学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","中宮1-8-14","6953-0800","24時間","指定緊急避難場所・指定避難所","地震","135.541675049335","34.7228054613433","一時避難場所・災害時避難所"
"生江小学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","生江1-10-21","6928-3561","24時間","指定緊急避難場所・指定避難所","地震、津波","135.53756517593","34.7232806098561","一時避難場所・災害時避難所"
"城北小学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","赤川3-13-47","6922-2134","24時間","指定緊急避難場所・指定避難所","地震、津波","135.529753219824","34.7264496107455","一時避難場所・災害時避難所"
"高殿小学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿6-9-10","6951-3344","24時間","指定緊急避難場所・指定避難所","地震","135.542904529569","34.7176270037918","一時避難場所・災害時避難所"
"高殿南小学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿3-10-30","6953-3851","24時間","指定緊急避難場所・指定避難所","地震、津波","135.539524959769","34.7139446271181","一時避難場所・災害時避難所"
"旭東中学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","新森6-7-25","6955-0044","24時間","指定緊急避難場所・指定避難所","地震、津波","135.561569361485","34.7182858530183","一時避難場所・災害時避難所"
"今市中学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","大宮5-13-40","6952-0371","24時間","指定緊急避難場所・指定避難所","地震、津波","135.549851317376","34.7323943261754","一時避難場所・災害時避難所"
"大宮中学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","中宮4-7-11","6952-0435","24時間","指定緊急避難場所・指定避難所","地震、津波","135.54131034405","34.7266646004679","一時避難場所・災害時避難所"
"旭陽中学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿5-9-31","6951-5531","24時間","指定緊急避難場所・指定避難所","地震","135.540052132524","34.7187238670418","一時避難場所・災害時避難所"
"旭高等学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿5-6-41","6951-3133","24時間","指定緊急避難場所・指定避難所","地震","135.542112657692","34.7183668706363","一時避難場所・災害時避難所"
"淀川工科高等学校","防災関連施設 - 一時避難場所・災害時避難所","旭区","太子橋3-1-32","6952-0001","24時間","指定緊急避難場所・指定避難所","地震、津波","135.559946686331","34.7372117355333","一時避難場所・災害時避難所"
"大阪工業大学","防災関連施設 - 一時避難場所・災害時避難所","旭区","大宮5-16-1","6952-3131","-","指定避難所","-","135.544342919518","34.7310300464061","災害時避難所"
"城北公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","生江3-29","－","24時間","指定緊急避難場所","地震、津波","135.539417123191","34.7292474051977","一時避難場所"
"旭公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿5-7","－","24時間","指定緊急避難場所","地震","135.54085122686","34.717761729745","一時避難場所"
"清水南公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","清水2-13","－","24時間","指定緊急避難場所","地震、津波","135.558981577048","34.7219247444646","一時避難場所"
"清水中公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","清水3-31","－","24時間","指定緊急避難場所","地震、津波","135.560084931599","34.7236856414291","一時避難場所"
"清水北公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","清水3-9","－","24時間","指定緊急避難場所","地震、津波","135.557639633059","34.7247732332623","一時避難場所"
"清水小公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","清水2-6","－","24時間","指定緊急避難場所","地震、津波","135.558661777303","34.7210324481571","一時避難場所"
"両国町公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","清水4-12","－","24時間","指定緊急避難場所","地震、津波","135.564789361874","34.7219253285545","一時避難場所"
"新森中央公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","新森4-22","－","24時間","指定緊急避難場所","地震、津波","135.55669999567","34.7181501534098","一時避難場所"
"新森北公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","新森3-12","－","24時間","指定緊急避難場所","地震、津波","135.55422075668","34.7201605340142","一時避難場所"
"新森南公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","新森1-4","－","24時間","指定緊急避難場所","地震、津波","135.550187656807","34.7161048191362","一時避難場所"
"新森東公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","新森6-8","－","24時間","指定緊急避難場所","地震、津波","135.563024619454","34.7181912484703","一時避難場所"
"新森南小公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","新森1-7","－","24時間","指定緊急避難場所","地震、津波","135.55163391659","34.7172821077596","一時避難場所"
"千林公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","千林2-9","－","24時間","指定緊急避難場所","地震、津波","135.551279454118","34.724762034321","一時避難場所"
"森小路公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","森小路2-5","－","24時間","指定緊急避難場所","地震、津波","135.54974818458","34.723573348771","一時避難場所"
"森小路南公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","森小路1-12","－","24時間","指定緊急避難場所","地震、津波","135.549010790911","34.721009508669","一時避難場所"
"森小路東公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","森小路1-7","－","24時間","指定緊急避難場所","地震、津波","135.550047840699","34.7202192252968","一時避難場所"
"今市公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","今市2-7","－","24時間","指定緊急避難場所","地震、津波","135.55392042594","34.726625145958","一時避難場所"
"太子橋西公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","太子橋1-17","－","24時間","指定緊急避難場所","地震、津波","135.552026638223","34.7326986067614","一時避難場所"
"太子橋中公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","太子橋2-7","－","24時間","指定緊急避難場所","地震、津波","135.555763937829","34.7357913340482","一時避難場所"
"太子橋南公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","太子橋1-8","－","24時間","指定緊急避難場所","地震、津波","135.550862692012","34.7303135124567","一時避難場所"
"太子橋東公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","太子橋3-3","－","24時間","指定緊急避難場所","地震、津波","135.559239117286","34.738562279236","一時避難場所"
"大宮南公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","大宮1-1","－","24時間","指定緊急避難場所","地震","135.544878721733","34.7209082919841","一時避難場所"
"大宮中公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","大宮3-1","－","24時間","指定緊急避難場所","地震、津波","135.545095942094","34.725849817486","一時避難場所"
"大宮北公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","大宮5(高架下)","－","24時間","指定緊急避難場所","地震、津波","135.546104868688","34.7306099428508","一時避難場所"
"江野公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","中宮2-18","－","24時間","指定緊急避難場所","地震","135.541837045405","34.7234730217716","一時避難場所"
"生江南公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","生江1-4","－","24時間","指定緊急避難場所","地震、津波","135.534965265823","34.7232907985958","一時避難場所"
"生江東公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","生江2-11","－","24時間","指定緊急避難場所","地震、津波","135.537578970196","34.7246466394401","一時避難場所"
"赤川南公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","赤川1-4","－","24時間","指定緊急避難場所","地震、津波","135.532298926471","34.7234327922511","一時避難場所"
"赤川公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","赤川4-21","－","24時間","指定緊急避難場所","地震、津波","135.530427012827","34.7291703776173","一時避難場所"
"高殿西公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿1-3","－","24時間","指定緊急避難場所","地震","135.534717801274","34.7189355418508","一時避難場所"
"高殿南公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿2-4","－","24時間","指定緊急避難場所","地震、津波","135.537156032001","34.7164896160926","一時避難場所"
"高殿南三公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿3-5","－","24時間","指定緊急避難場所","地震、津波","135.539626460905","34.7129493876139","一時避難場所"
"高殿南四公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿4-7","－","24時間","指定緊急避難場所","地震、津波","135.541690513025","34.7150502223435","一時避難場所"
"大宮ふれあい公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","大宮4-2","－","24時間","指定緊急避難場所","地震、津波","135.545486407405","34.7271082692951","一時避難場所"
"西浪橋公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿1-9","－","24時間","指定緊急避難場所","地震、津波","135.532988062821","34.7209486364637","一時避難場所"
"高殿７公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","高殿7-15","－","24時間","指定緊急避難場所","地震、津波","135.549179591032","34.7178710285138","一時避難場所"
"中宮１公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","中宮1-11","－","24時間","指定緊急避難場所","地震、津波","135.542085913467","34.72107914638","一時避難場所"
"生江西公園","防災関連施設 - 一時避難場所・災害時避難所","旭区","生江1-2","－","24時間","指定緊急避難場所","地震、津波","135.535405048046","34.7221625941746","一時避難場所"
"諏訪小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","永田2-15-5","6961-5001","24時間","指定緊急避難場所・指定避難所","地震、津波","135.558423478785","34.6868688907197","一時避難場所・災害時避難所"
"中浜小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","中浜2-12-35","6961-0703","24時間","指定緊急避難場所・指定避難所","地震、津波","135.543526946521","34.6856394241827","一時避難場所・災害時避難所"
"森之宮小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","森之宮1-6-64","6967-7811","24時間","指定緊急避難場所・指定避難所","地震、津波","135.537407878866","34.6834001086285","一時避難場所・災害時避難所"
"東中浜小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","東中浜5-4-5","6962-0087","24時間","指定緊急避難場所・指定避難所","地震、津波","135.549685147914","34.6840847696628","一時避難場所・災害時避難所"
"城東小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","鴫野東3-16-41","6962-3081","24時間","指定緊急避難場所・指定避難所","地震","135.547830880802","34.6912475600169","一時避難場所・災害時避難所"
"鴫野小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","鴫野西4-11-48","6961-4313","24時間","指定緊急避難場所・指定避難所","地震","135.541259325944","34.6914145544116","一時避難場所・災害時避難所"
"聖賢小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","新喜多2-4-35","6932-5025","24時間","指定緊急避難場所・指定避難所","地震","135.543001696962","34.6974240852015","一時避難場所・災害時避難所"
"今福小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","今福南2-1-53","6933-3412","24時間","指定緊急避難場所・指定避難所","地震","135.551275411644","34.6965108520834","一時避難場所・災害時避難所"
"放出小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","放出西2-2-18","6967-2251","24時間","指定緊急避難場所・指定避難所","地震、津波","135.5555991944","34.6946370695358","一時避難場所・災害時避難所"
"鯰江小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","今福西3-9-27","6939-0023","24時間","指定緊急避難場所・指定避難所","地震","135.548858257459","34.7017509604818","一時避難場所・災害時避難所"
"鯰江東小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","今福東1-3-26","6933-6403","24時間","指定緊急避難場所・指定避難所","地震","135.555304039945","34.7007550925389","一時避難場所・災害時避難所"
"関目小学校","防災関連施設 - 一時避難場所・災害時避難所","城東区","関目6-5-5","6931-0187","24時間","指定緊急避難場所・指定避難所","地震、津波","135.550483157656","34.7146901395712","一時避難場所・災害時避難所"
