"場所の名前","カテゴリ","区名","所在地","TEL","避難可能時間","災害対策基本法に基づく指定","避難場所の対象とする災害","経度","緯度","分類"
"泉尾浜公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","泉尾7-17","－","24時間","指定緊急避難場所","地震","135.46552774825","34.6548745969712","一時避難場所"
"千林橋公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","千島3-8","－","24時間","指定緊急避難場所","地震","135.470411834478","34.6516767730428","一時避難場所"
"南恩加島西公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","南恩加島6-14","－","24時間","指定緊急避難場所","地震","135.465586240651","34.6361929592142","一時避難場所"
"鶴町児童遊園","防災関連施設 - 一時避難場所・災害時避難所","大正区","鶴町1-7","－","24時間","指定緊急避難場所","地震","135.458989595072","34.6353629531003","一時避難場所"
"北村西児童遊園","防災関連施設 - 一時避難場所・災害時避難所","大正区","北村2-6","－","24時間","指定緊急避難場所","地震","135.466772810254","34.6528253511328","一時避難場所"
"北村公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","北村2-16","－","24時間","指定緊急避難場所","地震","135.466581372458","34.6513420685696","一時避難場所"
"岩崎橋公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","三軒家西1-3","－","24時間","指定緊急避難場所","地震","135.47681197446","34.6664686430321","一時避難場所"
"平尾公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","平尾2-22","－","24時間","指定緊急避難場所","地震","135.473336972672","34.6410478259884","一時避難場所"
"小林公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","小林東2-6","","24時間","指定緊急避難場所","地震","135.475409007207","34.6438686934284","一時避難場所"
"泉尾中公園","防災関連施設 - 一時避難場所・災害時避難所","大正区","泉尾3","","24時間","指定緊急避難場所","地震","135.46917253595","34.6583452165132","一時避難場所"
"天王寺小学校","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","大道1-4-49","6771-0870","24時間","指定緊急避難場所・指定避難所","地震、津波","135.515122835818","34.6528540563641","一時避難場所・災害時避難所"
"大江小学校","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","四天王寺1-9-18","6771-2425","24時間","指定緊急避難場所・指定避難所","地震、津波","135.514628115305","34.6562434281686","一時避難場所・災害時避難所"
"聖和小学校","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","寺田町1-6-37","6779-5521","24時間","指定緊急避難場所・指定避難所","地震、津波","135.521987502106","34.6517767606176","一時避難場所・災害時避難所"
"五条小学校","防災関連施設 - 一時避難場所・災害時避難所","天王寺区","小宮町9-28","6772-4831","24時間","指定緊急避難場所・指定避難所","地震、津波","135.519487613954","34.6591901953196","一時避難場所・災害時避難所"
